+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                   ;
+-------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp_msb_mux                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp_lsb_mux                ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rdemp_eq_comp_msb_mux                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rdemp_eq_comp_lsb_mux                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|cntr_b                                ; 3     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp_msb                    ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp_lsb                    ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp1_msb                   ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp1_lsb                   ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp_msb                   ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp_lsb                   ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp1_msb                  ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp1_lsb                  ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe3                      ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|ws_dgrp                               ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|ws_bwp                                ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|ws_brp                                ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe10                     ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rs_dgwp                               ; 12    ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|fifo_ram                              ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p                             ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p                             ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|ws_dgrp_gray2bin                      ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrptr_g_gray2bin                      ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component|dcfifo_mixed_widths_component|auto_generated                                       ; 13    ; 0              ; 0            ; 0              ; 45     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|read_fifo_component                                                                                    ; 13    ; 2              ; 0            ; 2              ; 45     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|write_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp_msb_mux               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; arinc_708_inst_b|write_fifo_component|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp_lsb_mux               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
